614874,"[157424, 156628]"
614817,"[49956, 37903]"
614701,"[156845, 72960]"
614589,"[60594, 120245, 79657]"
614568,"[2165, 3484]"
614421,"[118453, 150020]"
614363,"[157352, 157351, 138410]"
614307,"[156097, 25569]"
614265,"[156097, 25569]"
614206,"[62218, 88794, 62130, 25586, 69513, 26062]"
614129,"[155389, 155192]"
614026,"[61452, 90123, 49863]"
614025,"[61452, 90123, 49863]"
613919,"[144760, 84224]"
613910,"[23649, 15733, 23647, 11823, 16818, 8565]"
613902,"[23879, 88059]"
613838,"[23262, 24466]"
613740,"[123999, 16837]"
613704,"[57443, 140824]"
613657,"[152558, 153215]"
613656,"[157228, 78376]"
613557,"[154374, 84472]"
613479,"[59965, 28371]"
613427,"[150032, 150031]"
613376,"[31784, 17204, 55832, 54940, 54948]"
613314,"[25569, 156097]"
613282,"[157144, 129229]"
613016,"[139110, 69700]"
612843,"[153359, 125381]"
612831,"[106253, 55408]"
612787,"[147544, 59707]"
612770,"[157052, 25254, 22924]"
612760,"[142666, 140836]"
612728,"[68484, 155819]"
612458,"[157000, 156999, 107970]"
612453,"[145664, 145554, 144296, 144340, 144298, 144299]"
612373,"[68799, 69700]"
612255,"[17771, 18187]"
612087,"[82235, 81388]"
612006,"[157296, 138299, 126338]"
611926,"[87300, 153358]"
611907,"[156117, 156119]"
611896,"[146929, 60828, 119751]"
611887,"[146929, 119751, 60828]"
611876,"[53231, 55789, 124046]"
611800,"[156868, 80844]"
611658,"[156839, 23031]"
611653,"[9578, 156834, 77115]"
611622,"[156836, 156835, 24160]"
611414,"[156587, 156584]"
611383,"[64931, 63662]"
611248,"[156746, 21517]"
611201,"[69407, 69233]"
611165,"[156722, 21800]"
610889,"[72470, 50388, 147681]"
610883,"[72470, 50388, 147681]"
610864,"[156651, 156603]"
610822,"[8400, 155973]"
610820,"[85211, 80515]"
610659,"[156616, 156615, 48487]"
610627,"[120803, 120805, 120806, 33367]"
610625,"[63964, 155201]"
610548,"[50341, 32778]"
610541,"[152100, 146693, 153996]"
610452,"[156587, 156584]"
610435,"[149482, 136162]"
610424,"[83847, 82978, 56738, 37752, 52119, 108447, 130511, 50224]"
610272,"[112606, 155864]"
610012,"[109703, 106986]"
609964,"[27398, 56606]"
609839,"[120598, 155042, 68130, 31784]"
609763,"[50453, 80216]"
609740,"[63964, 155201]"
609566,"[120245, 79657]"
609535,"[14273, 74597]"
609522,"[121333, 156377, 62111]"
609375,"[13496, 29332, 11064]"
609371,"[108167, 105243]"
609205,"[112606, 155864]"
608832,"[156219, 103355]"
608714,"[449, 31784]"
608662,"[153215, 125381]"
608571,"[156165, 156166]"
608542,"[156175, 156176, 137830]"
608534,"[156174, 156170, 66924]"
608517,"[29564, 117043]"
608452,"[128211, 117942, 117934]"
608451,"[64702, 64713]"
608404,"[113144, 153337, 126592]"
608399,"[138134, 68786]"
608179,"[8458, 55203, 15891, 37704]"
608156,"[154780, 85150]"
608077,"[156097, 25569]"
608069,"[157294, 150839, 140658, 141704]"
608065,"[87300, 151071]"
608033,"[122921, 122920, 152940]"
608031,"[122921, 122920, 152940]"
608028,"[122920, 152940]"
608022,"[122920, 152940]"
607942,"[157204, 71987]"
607923,"[126539, 87609]"
607790,"[68870, 155847]"
607787,"[68870, 155847]"
607766,"[155847, 68870]"
607633,"[146929, 60828, 119751]"
607617,"[87300, 153359]"
607608,"[156148, 153848]"
607459,"[137742, 10392]"
607363,"[131481, 73436]"
607359,"[155942, 23387]"
607255,"[145616, 50798]"
607252,"[154851, 155024]"
607241,"[155926, 73618, 138978]"
607158,"[151501, 151516]"
607141,"[18365, 126338]"
606963,"[156954, 87715]"
606962,"[75441, 50452]"
606951,"[128114, 127982, 128560, 129241]"
606731,"[155192, 155169]"
606712,"[155819, 18365]"
606711,"[155819, 18365]"
606705,"[155819, 18365]"
606421,"[110100, 135664]"
606362,"[155720, 12459]"
606335,"[155899, 127653, 22952]"
606242,"[155716, 69927, 69793]"
606207,"[155697, 90349]"
606171,"[152612, 152618]"
606149,"[83072, 153344]"
606128,"[155174, 127797]"
606045,"[54558, 24729, 55344]"
605997,"[164497, 155664, 155663, 155662, 155661, 155660, 155659, 155658, 155657, 155656, 155655, 155654, 155653, 155652, 155651, 155650, 155649, 155648, 155647, 106692]"
605831,"[155620, 137618]"
605824,"[136574, 105265, 127927]"
605811,"[155615, 155614, 148368]"
605715,"[127143, 149891]"
605625,"[68593, 68753]"
605375,"[18545, 31821]"
605270,"[106905, 17123]"
605214,"[60401, 143889]"
605135,"[62265, 8790]"
604965,"[71638, 65458]"
604805,"[145360, 144164]"
604763,"[129634, 64367]"
604762,"[122920, 152940]"
604695,"[122920, 152940]"
604688,"[122920, 152940]"
604627,"[77428, 48350]"
604526,"[155309, 155310, 65457, 65452]"
604297,"[132353, 110475, 155259]"
604269,"[155256, 123261]"
604050,"[149334, 72462, 116946]"
604038,"[4322, 26092]"
603826,"[24514, 68461]"
603757,"[155172, 81388]"
603704,"[37252, 3296, 38086, 11581, 72014]"
603349,"[114375, 37493]"
603280,"[128211, 117942, 117934]"
603169,"[156621, 50265]"
603160,"[147617, 147623]"
603153,"[155260, 133035]"
603106,"[155044, 80462]"
602975,"[149334, 116946, 72462]"
602966,"[106031, 103271, 88000, 124782]"
602965,"[48270, 50038]"
602825,"[87300, 154113]"
602818,"[87300, 154113]"
602807,"[87300, 154113]"
602642,"[21833, 23241]"
602629,"[113040, 11209]"
602620,"[86682, 153844, 86624]"
602571,"[149320, 149336]"
602488,"[21833, 23241]"
602150,"[135932, 24213, 130994]"
602128,"[130517, 61388]"
601944,"[25254, 88225]"
601841,"[143861, 141746, 57024]"
601725,"[124305, 131932, 125332]"
601688,"[154859, 154573]"
601200,"[126592, 153337]"
601159,"[128028, 154550, 125430]"
601145,"[113144, 126592, 153337]"
601110,"[134062, 154632, 134075]"
601028,"[155270, 155269, 12710, 132316]"
601014,"[154637, 69242]"
600963,"[139273, 38416]"
600962,"[139273, 38416]"
600949,"[139273, 38416]"
600715,"[64047, 13786, 84312]"
600699,"[63682, 123677, 64935, 64941]"
600696,"[58799, 68015]"
600688,"[124999, 125004]"
600658,"[155781, 155780, 147346]"
600650,"[147902, 129147]"
600579,"[87300, 151071]"
600561,"[154977, 149473, 145453]"
600422,"[154543, 154541, 81388]"
600230,"[128068, 128549, 128174, 152904, 127419]"
600073,"[37617, 17913]"
600022,"[25833, 154422]"
599862,"[69700, 68799, 69475]"
599484,"[11064, 13496]"
599408,"[115468, 54574]"
599219,"[110828, 128949]"
599129,"[154267, 13744]"
599103,"[31472, 12341]"
599069,"[141709, 65430]"
598987,"[19405, 35547]"
598926,"[154239, 75559]"
598862,"[154221, 73557, 74289]"
598613,"[28904, 63615, 29514]"
598604,"[154236, 88225]"
598538,"[154122, 154119, 112553, 146527]"
598522,"[153342, 126592, 153337]"
598489,"[156105, 35737]"
598474,"[144276, 140856]"
598443,"[129776, 135092, 120789]"
598427,"[78378, 147327]"
