id,collaborators
595415,"[151071, 153359, 153358, 153357, 153356, 153355, 125381, 153354, 153353, 153215, 153351]"
595394,[153342]
595378,[153342]
595376,"[153342, 126592]"
595373,[126592]
595224,[142241]
595119,"[62894, 62872]"
595109,"[152802, 152800, 153292, 153291, 153290, 153289, 153288, 153287, 153286]"
595007,[23349]
594975,[79605]
594869,"[11823, 58820]"
594867,[142241]
594771,[78708]
594740,[153559]
594601,"[153161, 151012, 47882, 74765, 152480, 152483, 151011, 151010, 152484, 152482, 153150]"
594566,"[153150, 151012, 153161, 153157, 153159, 152480, 152482, 152483, 151010, 151011, 151997]"
594260,[81723]
594239,"[62111, 153550]"
594125,[141889]
594110,[87171]
594050,[153103]
593790,[152979]
593706,"[23097, 71426]"
593568,"[54926, 151496]"
593502,"[127982, 129241, 152904, 128114, 128560]"
593487,"[152897, 152898, 152656]"
593367,"[50388, 147681]"
593229,"[152835, 23666, 23706]"
593114,[103462]
592986,[85623]
592960,[1844]
592721,"[12899, 56385]"
592650,[49052]
592605,"[153484, 153178]"
592281,[15733]
592279,[154484]
592210,[20630]
592209,"[153152, 153156]"
592167,"[153214, 142739]"
592096,[152979]
591857,[54637]
591732,"[115692, 111269]"
591729,[145875]
591690,"[90950, 88719, 63909, 103462]"
591671,[9182]
591594,"[147519, 110189]"
591571,"[153150, 153161, 151012, 153157, 153159, 152484, 152482, 152480, 151010, 152483, 151011, 151997]"
591566,"[153150, 153161, 151012, 153159, 152484, 152480, 151011, 151997, 151010, 152482, 152483]"
591556,"[153150, 153161, 151012, 153157, 153159, 152484, 151011, 152482, 152480, 152483, 151010, 151997]"
591531,"[153150, 153161, 151012, 153157, 153159, 152482, 152480, 152483, 151010, 151011, 151997]"
591522,"[151012, 153161, 153157, 153159, 153150, 151997, 151010, 152484, 152480, 152483, 152482]"
591520,"[153150, 153161, 151012, 153157, 153159, 152480, 152482, 152483, 151010, 151997, 151011]"
591511,"[152476, 152475, 152474, 152468, 152467]"
591510,"[153150, 153161, 151012, 153157, 153159, 152484, 152480, 152482, 152483, 151010, 151997, 151011]"
591389,[60132]
591347,"[135785, 132867, 135786]"
591170,"[72470, 50388]"
591142,[153629]
591015,[151853]
590895,[152496]
590838,[152306]
590659,"[7616, 343, 23, 17]"
590634,[72956]
590605,[87191]
590601,[87191]
590598,[87191]
590590,"[63184, 61544]"
590586,[72956]
590204,[138798]
590195,"[124485, 124130]"
590181,[152150]
590130,[72956]
590107,[72956]
590090,[152143]
590085,[72956]
590080,[72956]
590078,[72956]
590077,[72956]
590070,[152134]
590058,[72956]
590017,"[163454, 153578, 152273]"
589830,"[29148, 19518]"
589800,"[92001, 87873, 16601, 11058]"
589768,[140661]
589748,[145911]
589735,[152076]
589697,[81030]
589662,"[152068, 152066]"
589654,[81030]
589362,[67997]
589240,[73557]
589195,[81030]
589194,[81030]
589110,[152366]
589023,"[130994, 12466]"
588943,[152785]
588906,[64033]
588855,[61983]
588839,[124133]
588731,[151860]
588711,"[155191, 117407]"
588636,"[149000, 152117, 112878]"
588554,[33851]
588346,"[129776, 129777, 135092]"
588337,[49610]
588298,[151768]
588253,[146901]
588126,[151993]
588034,"[38661, 151695]"
587868,[134324]
587832,[153278]
587679,"[69893, 48510]"
587595,[152069]
587533,[150394]
587532,"[157258, 12090, 155242, 149295, 151616]"
587388,[35045]
587332,[125004]
587313,"[145917, 145919, 145916, 145921]"
587261,[151546]
587059,[54926]
587020,[68786]
586928,[150020]
586823,[8790]
586820,"[154971, 154970, 154969, 154968, 154043, 151995]"
586714,[151402]
586685,[127977]
586605,"[86483, 24310]"
586418,[151358]
586156,[81723]
586105,[2484]
586070,[2484]
585969,[85537]
585707,"[343, 23, 7616]"
585632,"[150731, 150730]"
585568,[119719]
585531,[132133]
585530,[132133]
585529,[132133]
585502,"[152547, 32539]"
585438,[56527]
585382,[81879]
585367,"[38273, 122120, 19379]"
585353,"[157258, 149295, 12090, 151616, 155242]"
585340,[81879]
585328,[119072]
585307,[151137]
585292,"[151563, 151562, 151561, 151560]"
585217,"[151121, 151120]"
585175,"[151845, 153516]"
585040,[73904]
585017,[152917]
584997,[127589]
584921,[17332]
584917,"[129388, 2484]"
584889,"[161478, 131934, 6001]"
584583,"[153048, 128737, 30705, 151261]"
584409,[107378]
584323,[74319]
584240,"[154584, 154583, 74829]"
584161,[50377]
584058,[131670]
584039,[37588]
583853,"[104174, 108196, 17695]"
583730,"[150802, 150803]"
583715,"[135831, 135783]"
583255,[150618]
583197,[136410]
583134,"[157345, 69283]"
582942,[63384]
582889,[52201]
582796,[23796]
582688,"[130983, 130982]"
582651,"[145917, 146177, 145925, 145913]"
582598,"[54948, 147935]"
582577,"[146177, 145913, 145925, 145917]"
582528,"[135794, 135782]"
582526,[64712]
582525,[70006]
582330,[150433]
582318,[107524]
582283,[61983]
582241,[37680]
582191,[61983]
582190,[61983]
582187,[61983]
582161,[150455]
582110,[15735]
582086,"[128671, 14476]"
581977,"[77398, 150224]"
581954,[151135]
581867,[149741]
581844,[150409]
581832,"[151088, 151089]"
581779,[72462]
581713,[11010]
581599,"[140967, 3657]"
581566,"[140967, 3657]"
581548,"[150577, 150368]"
581504,[148498]
581475,[148498]
581260,"[3041, 151572, 151573]"
581069,[25844]
581040,"[6863, 12601]"
580968,"[65364, 48544]"
580965,[16353]
580657,[150184]
580593,"[147671, 53891]"
580495,[152488]
580480,[69767]
580460,[6414]
580213,[152205]
580101,"[68799, 139110]"
580051,"[162000, 150047]"
580032,[144574]
579957,[118453]
579950,"[65986, 157365, 85376, 157364]"
579748,[23649]
579391,[149905]
579384,"[120949, 120950]"
579268,"[127571, 104601, 104598]"
579214,[27682]
579169,[108092]
579145,[126960]
579079,[149839]
578864,[116946]
578778,[149167]
578771,[17338]
578761,[149753]
578686,"[120822, 121534, 120816]"
578488,"[131200, 144799]"
578487,"[148839, 151071, 150875, 151070, 151069]"
578460,[149710]
578206,[149866]
578024,[144835]
578018,[125875]
577986,[79631]
577905,"[81627, 77670, 86554, 90340]"
577887,[149562]
577519,[149496]
577450,[20064]
577446,"[149713, 149714]"
577420,"[148595, 144068]"
577312,[118229]
577270,[149167]
577143,"[149424, 149423, 149422, 149421, 149420, 149419, 149418]"
577066,[23706]
576910,"[104932, 149352, 75780, 149351, 149350, 149349, 149348, 104928, 149346]"
576884,[87432]
576863,[149320]
576832,[103168]
576675,"[149299, 149302]"
576658,[13976]
576629,"[141136, 149486, 127589]"
576579,[114014]
576537,[23649]
576514,"[149261, 149260]"
576473,"[148887, 149245, 84472]"
576461,[149246]
576414,"[156428, 149714, 149713]"
576327,"[145970, 146169]"
576263,[56824]
576173,"[6259, 4620]"
576108,"[109882, 109882]"
575871,"[126969, 126977, 149055, 135886, 136175]"
575822,[13543]
575756,"[149917, 149916, 149294, 149915, 84494, 149914, 149913, 84490, 149912, 125441, 149911, 149910, 67704, 149909, 149908, 149907, 84503, 149897]"
575755,[85441]
575660,[150044]
575654,[13404]
575625,[55807]
575527,[148967]
575514,[82136]
575355,[132896]
575165,[90818]
575151,[81879]
575106,"[148891, 92028]"
575095,[133187]
575078,[133187]
574903,[69513]
574893,"[9661, 77636, 109139]"
574627,[50453]
574556,[148561]
574218,[11823]
574092,"[144299, 145554]"
574023,[84061]
574005,"[148596, 148595]"
573975,"[124504, 148580, 80518, 84449]"
573965,"[131178, 84061, 135948, 124130, 80771]"
573914,"[152517, 152516, 152515, 152514, 152513, 152512, 152511, 152510, 152509, 152508, 152507, 152506, 152505, 152504, 152503, 152502, 152501, 23480, 151588]"
573873,"[148936, 112878, 112953, 145658, 112964]"
573728,"[147581, 139285]"
573620,[9661]
573524,"[141870, 141857, 148497, 110102]"
573519,"[151737, 74554]"
573513,"[140194, 143040]"
573483,[56042]
573461,[9661]
573224,[62493]
573193,[86657]
573186,[74182]
573185,[74182]
573183,[12185]
573125,[86657]
572986,"[148368, 147346]"
572981,[157072]
572977,[148367]
572833,[135948]
572709,"[106027, 36321]"
572699,"[50452, 50453]"
572637,[151849]
572589,[141327]
572584,[148665]
572525,"[148407, 135932]"
572488,[138978]
572422,[86657]
572409,[132316]
572391,"[50381, 118425]"
572276,[71510]
571661,"[160886, 48023]"
571566,[152061]
571518,[37182]
571486,[103184]
571357,[148023]
571286,[117655]
571066,"[54940, 54948, 147935]"
570807,[108847]
570806,[21516]
570800,[15692]
570763,"[17984, 11309]"
570738,"[139949, 139938]"
570729,"[20298, 147877, 87839]"
570679,"[107396, 148025, 148024, 148023, 148022, 148021, 148020]"
570663,[14989]
570636,"[147402, 147847]"
570607,[152766]
570570,"[147831, 147830, 147827, 147829]"
570529,"[127982, 149479, 127171, 147817]"
570424,[147913]
570412,[125776]
570406,[23649]
570265,[145616]
569914,[86657]
569861,[63594]
569598,[66931]
569589,"[149268, 121647, 147569, 16536, 109363, 23050, 60404]"
569566,[11425]
569509,[23822]
569359,[125776]
569300,[86657]
569296,[147521]
569205,[117690]
569203,[117690]
569196,[147491]
569180,"[53328, 75668]"
569127,[67082]
569123,[73302]
569122,[73302]
569120,[73302]
569119,[73302]
569079,[147794]
